#timestamp(s) translation_x(m) translation_y(m) translation_z(m)
1640241929.700000048 848.80 -1899.50 3430.57 
1640241929.799999952 848.80 -1899.50 3430.57 
1640241929.900000095 848.80 -1899.50 3430.57 
1640241930.000000000 848.80 -1899.50 3430.57 
1640241930.099999905 848.80 -1899.50 3430.57 
1640241930.200000048 848.80 -1899.50 3430.57 
1640241930.299999952 848.80 -1899.50 3430.57 
1640241930.400000095 848.80 -1899.50 3430.57 
1640241930.500000000 848.80 -1899.50 3430.57 
1640241930.599999905 848.80 -1899.50 3430.57 
1640241930.700000048 848.80 -1899.50 3430.57 
1640241930.799999952 848.80 -1899.50 3430.57 
1640241930.900000095 848.80 -1899.50 3430.57 
1640241931.000000000 848.80 -1899.50 3430.57 
1640241931.099999905 848.80 -1899.50 3430.57 
1640241931.200000048 848.80 -1899.50 3430.57 
1640241931.299999952 848.80 -1899.50 3430.57 
1640241931.400000095 848.80 -1899.50 3430.57 
1640241931.500000000 848.80 -1899.50 3430.57 
1640241931.599999905 848.80 -1899.50 3430.57 
1640241931.700000048 848.80 -1899.50 3430.57 
1640241931.799999952 848.80 -1899.50 3430.57 
1640241931.900000095 848.80 -1899.50 3430.57 
1640241932.000000000 848.80 -1899.50 3430.57 
1640241932.099999905 848.80 -1899.50 3430.57 
1640241932.200000048 848.80 -1899.50 3430.57 
1640241932.299999952 848.80 -1899.50 3430.57 
1640241932.400000095 848.80 -1899.50 3430.57 
1640241932.500000000 848.80 -1899.50 3430.57 
1640241932.599999905 848.80 -1899.50 3430.57 
1640241932.700000048 848.80 -1899.50 3430.57 
1640241932.799999952 848.80 -1899.50 3430.57 
1640241932.900000095 848.80 -1899.50 3430.57 
1640241933.000000000 848.80 -1899.50 3430.57 
1640241933.099999905 848.80 -1899.50 3430.57 
1640241933.200000048 848.80 -1899.50 3430.57 
1640241933.299999952 848.80 -1899.50 3430.57 
1640241933.400000095 848.80 -1899.50 3430.57 
1640241933.500000000 848.80 -1899.50 3430.57 
1640241933.599999905 848.80 -1899.50 3430.57 
1640241933.700000048 848.80 -1899.50 3430.57 
1640241933.799999952 848.80 -1899.50 3430.57 
1640241933.900000095 848.80 -1899.50 3430.57 
1640241934.000000000 848.80 -1899.50 3430.57 
1640241934.099999905 848.80 -1899.50 3430.57 
1640241934.200000048 848.80 -1899.50 3430.57 
1640241934.299999952 848.80 -1899.50 3430.57 
1640241934.400000095 848.80 -1899.50 3430.57 
1640241934.500000000 848.80 -1899.50 3430.57 
1640241934.599999905 848.80 -1899.50 3430.57 
1640241934.700000048 848.80 -1899.50 3430.57 
1640241934.799999952 848.80 -1899.50 3430.57 
1640241934.900000095 848.80 -1899.50 3430.57 
1640241935.000000000 848.80 -1899.50 3430.57 
1640241935.099999905 848.80 -1899.50 3430.57 
1640241935.200000048 848.80 -1899.50 3430.57 
1640241935.299999952 848.80 -1899.50 3430.57 
1640241935.400000095 848.80 -1899.50 3430.57 
1640241935.500000000 848.80 -1899.50 3430.57 
1640241935.599999905 848.80 -1899.50 3430.57 
1640241935.700000048 848.80 -1899.50 3430.57 
1640241935.799999952 848.80 -1899.50 3430.57 
1640241935.900000095 848.80 -1899.50 3430.57 
1640241936.000000000 848.80 -1899.50 3430.57 
1640241936.099999905 848.80 -1899.50 3430.57 
1640241936.200000048 848.80 -1899.50 3430.57 
1640241936.299999952 848.80 -1899.50 3430.57 
1640241936.400000095 848.80 -1899.50 3430.57 
1640241936.500000000 848.80 -1899.50 3430.57 
1640241936.599999905 848.80 -1899.50 3430.57 
1640241936.700000048 848.80 -1899.50 3430.57 
1640241936.799999952 848.80 -1899.50 3430.57 
1640241936.900000095 848.80 -1899.50 3430.57 
1640241937.000000000 848.80 -1899.50 3430.57 
1640241937.099999905 848.80 -1899.50 3430.57 
1640241937.200000048 848.80 -1899.50 3430.57 
1640241937.299999952 848.80 -1899.50 3430.57 
1640241937.400000095 848.80 -1899.50 3430.57 
1640241937.500000000 848.80 -1899.50 3430.57 
1640241937.599999905 848.80 -1899.50 3430.57 
1640241937.700000048 848.80 -1899.50 3430.57 
1640241937.799999952 848.80 -1899.50 3430.57 
1640241937.900000095 848.80 -1899.50 3430.57 
1640241938.000000000 848.80 -1899.50 3430.57 
1640241938.099999905 848.80 -1899.50 3430.57 
1640241938.200000048 848.80 -1899.50 3430.57 
1640241938.299999952 848.80 -1899.50 3430.57 
1640241938.400000095 848.80 -1899.50 3430.57 
1640241938.500000000 848.80 -1899.50 3430.57 
1640241938.599999905 848.80 -1899.50 3430.57 
1640241938.700000048 848.80 -1899.50 3430.57 
1640241938.799999952 848.80 -1899.50 3430.57 
